award number,published_year,investigators
8511460,1985,"McJunkin,David|Sauer,Jonathan"
8209621,1982,"Pellegrino,James|Golledge,Reginald|Smith,Terence"
0354495,2004,"Bridge,Gavin"
8513749,1986,"Oaks,Sherry|Greenland,David"
8105838,1981,"Ralston,Bruce"
7727474,1978,"Feldstein,Martin"
7360109,1973,
9101197,1991,
0822945,2008,"DiGiano,Maria|Schmink,Marianne"
9512033,1995,"Jonas,Andrew|Scott,Thomas"
9905271,1999,"Ostrom,Elinor"
0819396,2008,"Travis,David"
0902222,2009,"Russ,Laura|Takahashi,Lois"
8720597,1988,"Pellegrino,James|Golledge,Reginald"
68W3286,1968,
9300445,1994,"Anselin,Luc|Cushing,Brian|Isserman,Andrew"
9625709,1996,"Xu,Jingping|Stone,Gregory"
9912165,2000,"Spilhaus, Jr.,A. F."
0203254,2002,"Veblen,Thomas"
0134109,2002,"Ioffe,Grigory"
9224090,1993,"Dougherty,Kevin|Etzkowitz,Henry"
9001116,1990,
8721875,1988,"Anselin,Luc"
0826594,2008,"Rey,Sergio"
0616334,2006,"Chambers,Carol|Mast,Joy"
8852720,1988,"Stopp,George"
7808476,1978,"Wasylenko,Michael|Erickson,Rodney"
9618639,1997,"Ioannides,Yannis"
9014537,1990,"Abrahams,Athol"
9450248,1994,"Pearlman,Althea"
8618274,1987,"Harrington,James"
0095993,2001,"Robbins,Paul"
8904210,1989,"Chen,Keh-Hsun (Ken)"
8206940,1982,"Cadwallader,Martin"
8107126,1981,"Steinke,Theodore|Lloyd,Robert"
0727308,2007,"Roy,Ananya"
9907674,2000,"Wetzel,Melanie"
9109538,1991,"Bartik,Timothy"
8715638,1988,"McNulty,Michael"
8821414,1989,"Woodward,David"
9123884,1992,"Mitchell,Robert"
0549319,2006,"Myers,Garth"
0820462,2008,"Weinstein,David"
8219830,1983,"Golledge,Reginald"
9906670,1999,"Feldman,Maryann"
0824856,2007,"Peng,Zhong-ren"
9618371,1997,"Rudel,Thomas"
0552239,2006,"Roy,Ananya"
0548846,2006,"Cuomo,Chris|Hinkel,Kenneth|Eisner,Wendy"
9406595,1994,"Jarosz,Lucy"
8796253,1987,"Roberts,Rebecca"
9451977,1994,"Henderson,Floyd|Stump,Roger|Mower,James"
8503693,1985,"Cressie,Noel"
9601272,1996,"Torn,Margaret|Harden,Jennifer|Lapenis,Andrei"
9317844,1993,"Turner,B."
0110174,2001,"Paul,Bimal"
9978058,1999,"Appelbaum,Richard|Goodchild,Michael"
